script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[26-02-17 23.07.45.404],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F,512,512,1,3.604070,0.083091,0.024898,0.002796,0.000011,0.011680,0.000769,0.123298,0.082478,0.025083,0.002790,0.000012,0.011491,0.000764,0.122667,0.081406,0.032011,0.004435,0.000013,0.012280,0.000619,0.130827,0.087314,0.028437,0.002700,0.000016,0.011698,0.000574,0.130798,0.084249,0.030822,0.004793,0.000018,0.012157,0.000827,0.132943,4.261285,136.356514,127.551346,136.356514,7.505984,7.999358,7.999358,0.996189,0.783122,0.335142,0.273122,0.975617,0.972721,0.968689,-0.004764,-0.001636,0.006558,0.975617,0.972721,0.968689,0.000090,0.001010 
[26-02-17 23.09.09.133],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDAD,512,512,1,3.631881,0.087933,0.027671,0.002520,0.000009,0.011347,0.001096,0.130636,0.079495,0.027407,0.002810,0.000010,0.010456,0.000702,0.120938,0.079595,0.027518,0.002548,0.000010,0.010872,0.000659,0.121257,0.086035,0.027214,0.002555,0.000012,0.011234,0.000768,0.127875,0.082880,0.027170,0.004099,0.000015,0.013576,0.002141,0.129965,4.278746,136.356514,127.285992,136.356514,7.505984,7.999236,7.999236,0.995907,0.062484,0.335168,0.248751,0.976193,0.972800,0.972038,-0.014316,0.016381,0.003792,0.976193,0.972800,0.972038,-0.004571,-0.001055 
[26-02-17 23.10.32.388],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461,512,512,1,3.614711,0.078799,0.025702,0.002406,0.000009,0.009748,0.000821,0.117546,0.081719,0.026057,0.002513,0.000009,0.010245,0.000646,0.121412,0.076456,0.025861,0.003054,0.000011,0.011036,0.000688,0.117167,0.087902,0.026080,0.002865,0.000012,0.010383,0.000691,0.128004,0.089054,0.026211,0.002557,0.000012,0.010289,0.000952,0.129140,4.247077,136.356514,127.220173,136.356514,7.505984,7.999329,7.999329,0.995956,0.129828,0.335361,0.116422,0.974871,0.972401,0.970058,-0.000200,0.030199,0.016134,0.974871,0.972401,0.970058,-0.002099,-0.000359 
[26-02-17 23.11.55.620],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03,512,512,1,3.689758,0.082849,0.026011,0.004310,0.000019,0.010864,0.000797,0.124917,0.078764,0.026161,0.002976,0.000016,0.011383,0.000797,0.120171,0.077385,0.028721,0.004368,0.000018,0.010469,0.000784,0.121814,0.087196,0.029578,0.003283,0.000012,0.010676,0.000789,0.131596,0.088792,0.027493,0.003597,0.000012,0.011704,0.000735,0.132403,4.336868,136.356514,127.201614,136.356514,7.505984,7.999368,7.999368,0.996098,0.512489,0.334515,0.793703,0.975602,0.974028,0.967156,0.022040,-0.011387,-0.009430,0.975602,0.974028,0.967156,0.001962,0.001506 
[26-02-17 23.13.18.817],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266,512,512,1,3.597682,0.086422,0.026724,0.003627,0.000014,0.011386,0.000892,0.129148,0.084572,0.025043,0.002507,0.000009,0.011661,0.000816,0.124662,0.079950,0.028988,0.003410,0.000012,0.012067,0.000624,0.125114,0.085088,0.026624,0.003455,0.000011,0.011285,0.000685,0.127212,0.080514,0.026220,0.004371,0.000018,0.012638,0.001109,0.124944,4.244844,136.356514,127.676025,136.356514,7.505984,7.999328,7.999328,0.996262,0.915851,0.333925,0.124463,0.975985,0.973093,0.968396,0.007802,-0.012004,-0.007708,0.975985,0.973093,0.968396,-0.002970,-0.000207 
[26-02-17 23.14.42.281],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C8243297,512,512,1,3.704529,0.083637,0.024181,0.002509,0.000009,0.011008,0.000632,0.122028,0.076446,0.023839,0.004456,0.000013,0.011999,0.000637,0.117444,0.081400,0.026322,0.002523,0.000009,0.010844,0.000940,0.122083,0.079941,0.027241,0.002502,0.000009,0.010757,0.000698,0.121200,0.097601,0.029883,0.002571,0.000012,0.010441,0.000783,0.141346,4.343484,136.356514,127.439079,136.356514,7.505984,7.999415,7.999415,0.996113,0.562203,0.334997,0.433991,0.976482,0.974420,0.965331,-0.008550,0.008480,-0.019548,0.976482,0.974420,0.965331,-0.001195,-0.000281 
[26-02-17 23.16.04.323],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B0,512,512,1,3.591455,0.083544,0.026121,0.002496,0.000010,0.011512,0.000634,0.124365,0.074533,0.025033,0.003440,0.000015,0.010919,0.000863,0.114866,0.078616,0.026294,0.003987,0.000015,0.011935,0.000760,0.121675,0.080661,0.025870,0.002873,0.000011,0.011690,0.000721,0.121890,0.082898,0.030791,0.002510,0.000010,0.011597,0.000778,0.128633,4.219535,136.356514,127.555561,136.356514,7.505984,7.999274,7.999274,0.996193,0.792204,0.334173,0.317361,0.976428,0.973234,0.965635,0.002951,0.016139,0.003864,0.976428,0.973234,0.965635,-0.001739,-0.001199 
[26-02-17 23.17.26.527],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3,512,512,1,3.600126,0.082642,0.026582,0.002888,0.000011,0.010435,0.001068,0.123689,0.080335,0.025298,0.003463,0.000012,0.010458,0.000779,0.120406,0.082783,0.026125,0.002728,0.000011,0.011185,0.000694,0.123589,0.084186,0.027580,0.003518,0.000012,0.010739,0.000574,0.126675,0.089827,0.026832,0.004373,0.000015,0.011342,0.000937,0.133404,4.244565,136.356514,127.435043,136.356514,7.505984,7.999265,7.999265,0.996178,0.754540,0.334804,0.715942,0.977479,0.973121,0.967408,0.019197,0.019188,-0.017306,0.977479,0.973121,0.967408,0.002219,0.003370 
[26-02-17 23.18.49.353],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1,512,512,1,3.590609,0.079990,0.026809,0.004358,0.000011,0.010763,0.000711,0.122709,0.082970,0.027777,0.003012,0.000012,0.010824,0.000915,0.125579,0.080223,0.028128,0.002602,0.000012,0.011434,0.000909,0.123383,0.087661,0.027756,0.002733,0.000011,0.010619,0.000626,0.129460,0.085917,0.029110,0.004210,0.000049,0.013248,0.000824,0.133479,4.243227,136.356514,127.600174,136.356514,7.505984,7.999317,7.999317,0.995804,0.008664,0.333447,0.010117,0.975229,0.971610,0.970495,-0.028681,-0.002696,0.009308,0.975229,0.971610,0.970495,-0.002215,0.000271 
[26-02-17 23.20.12.284],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A,512,512,1,3.604132,0.086212,0.028204,0.002553,0.000010,0.010193,0.000889,0.128125,0.081503,0.028277,0.003454,0.000012,0.011270,0.000641,0.125233,0.082565,0.026275,0.003089,0.000016,0.011016,0.000839,0.123859,0.083886,0.029108,0.002495,0.000009,0.011479,0.000618,0.127647,0.085659,0.028026,0.004091,0.000015,0.013043,0.003412,0.134316,4.259436,136.356514,127.638355,136.356514,7.505984,7.999292,7.999292,0.996216,0.841818,0.335566,0.044142,0.976379,0.971914,0.968719,-0.015601,0.015507,-0.015854,0.976379,0.971914,0.968719,-0.000694,-0.001106 
[26-02-17 23.21.35.174],FF834E94C9D2B7A78569,FF834E94C9D2B7A78769,0C6B1AA48E2F0A58,512,512,1,3.590587,0.073634,0.027876,0.002511,0.000009,0.011194,0.000592,0.115862,0.085853,0.027628,0.002564,0.000011,0.011351,0.001226,0.128691,0.083458,0.026043,0.002520,0.000010,0.011466,0.000770,0.124321,0.091084,0.028373,0.002744,0.000015,0.012291,0.000776,0.135346,0.089820,0.027342,0.004387,0.000019,0.016802,0.001065,0.139511,4.248806,136.356514,127.671837,136.356514,7.505984,7.999373,7.999373,0.996227,0.863437,0.335274,0.166761,0.976544,0.974739,0.969006,0.002958,0.020090,0.010343,0.976544,0.974739,0.969006,0.002942,0.000223 
[26-02-17 23.22.57.967],38A7118D4AEC77FED4B5,38A7158D4AEC77FED4B5,B594C1A86789C95D,512,512,1,3.596961,0.084261,0.027270,0.002692,0.000011,0.010979,0.000662,0.125947,0.082565,0.025695,0.002521,0.000010,0.011556,0.000842,0.123244,0.081685,0.027507,0.002860,0.000011,0.010922,0.000604,0.123645,0.090089,0.026775,0.003250,0.000013,0.011703,0.000611,0.132499,0.085525,0.029451,0.003374,0.000012,0.011338,0.000757,0.130522,4.248969,136.356514,127.415672,136.356514,7.505984,7.999235,7.999235,0.995964,0.143533,0.334293,0.458686,0.975510,0.972650,0.970099,0.001449,-0.002809,0.012364,0.975510,0.972650,0.970099,0.000672,0.001758 
[26-02-17 23.24.22.102],6C26C7CD54255BA75C01,6C26C7CD74255BA75C01,E58F9339177D8452,512,512,1,3.602530,0.081031,0.027981,0.003543,0.000018,0.011320,0.000589,0.124552,0.083836,0.025355,0.002771,0.000010,0.010448,0.000633,0.123105,0.081201,0.027966,0.002705,0.000011,0.011522,0.000697,0.124162,0.084895,0.027064,0.002890,0.000012,0.010980,0.000600,0.126506,0.079594,0.027853,0.002504,0.000010,0.010935,0.000831,0.121786,4.239216,136.356514,127.647167,136.356514,7.505984,7.999273,7.999273,0.996216,0.841818,0.334901,0.565820,0.975562,0.974483,0.971189,0.000075,0.011731,0.009523,0.975562,0.974483,0.971189,-0.000175,0.002566 
[26-02-17 23.25.46.322],35EF2953FE96A8C201F3,35EF2153FE96A8C201F3,FA60092455AABEDD,512,512,1,3.823874,0.081697,0.027411,0.003184,0.000017,0.011304,0.000776,0.124460,0.082485,0.026252,0.003399,0.000013,0.010746,0.000768,0.123734,0.078567,0.024741,0.002720,0.000010,0.010954,0.000780,0.117822,0.083930,0.026866,0.003581,0.000018,0.011827,0.000697,0.126987,0.086202,0.029507,0.004422,0.000018,0.013106,0.000777,0.134112,4.468088,136.356514,127.370144,136.356514,7.505984,7.999237,7.999237,0.996056,0.377098,0.335466,0.072407,0.974973,0.975427,0.970388,0.001473,-0.002201,0.034073,0.974973,0.975427,0.970388,0.001196,0.000428 
[26-02-17 23.27.12.652],C28AD5246973C3555A0A,C28ED5246973C3555A0A,71E7A72248BAF3F0,512,512,1,3.813311,0.085267,0.028829,0.003430,0.000012,0.011057,0.000674,0.129331,0.081548,0.029065,0.003934,0.000014,0.012168,0.000823,0.127620,0.081125,0.027239,0.004293,0.000017,0.010981,0.001241,0.124973,0.092027,0.027536,0.002504,0.000009,0.013997,0.000686,0.136827,0.097113,0.026561,0.003594,0.000013,0.010864,0.000832,0.139042,4.487210,136.356514,127.579800,136.356514,7.505984,7.999350,7.999350,0.995922,0.079417,0.334724,0.847202,0.975898,0.973708,0.968431,-0.006405,0.011838,-0.027338,0.975898,0.973708,0.968431,0.003441,0.001161 
[26-02-17 23.28.38.572],467C19AD051ADFFF2E79,467C18AD051ADFFF2E79,8626563B1ED4A6B8,512,512,1,3.813063,0.082677,0.029525,0.003474,0.000013,0.010361,0.001173,0.127292,0.081697,0.026778,0.002528,0.000009,0.010786,0.000715,0.122568,0.083386,0.025972,0.002497,0.000010,0.011068,0.000659,0.123650,0.091769,0.028815,0.002651,0.000010,0.011491,0.000702,0.135504,0.096182,0.027939,0.004109,0.000018,0.012348,0.000636,0.141302,4.479056,136.356514,127.597500,136.356514,7.505984,7.999270,7.999270,0.996147,0.669436,0.334975,0.463074,0.975401,0.973798,0.970124,-0.005212,0.010033,-0.006632,0.975401,0.973798,0.970124,-0.002556,-0.001514 
