script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, redIntensityPlain, greenIntensityPlain, blueIntensityPlain, redIntensityCipher, greenIntensityCipher, blueIntensityCipher, redIntensityDecipher, greenIntensityDecipher, blueIntensityDecipher, entropyRGBPlain,    entropyRGBCipher,     entropyRGBDecipher, entropyRedPlain,    entropyGreenPlain,    entropyBluePlain, entropyRedCipher,   entropyGreenCipher,   entropyBlueCipher, entropyRedDecipher, entropyGreenDecipher, entropyBlueDecipher, diff_RGB_NPCRscore,   diff_RGB_NPCRpval,   diff_RGB_UACIscore,   diff_RGB_UACIpval, diff_Red_NPCRscore,   diff_Red_NPCRpval,   diff_Red_UACIscore,   diff_Red_UACIpval, diff_Green_NPCRscore, diff_Green_NPCRpval, diff_Green_UACIscore, diff_Green_UACIpval, diff_Blue_NPCRscore,  diff_Blue_NPCRpval,  diff_Blue_UACIscore,  diff_Blue_UACIpval, corr_rgbPlain_H, corr_rgbPlain_V, corr_rgbPlain_D, corr_rgbCipher_H, corr_rgbCipher_V, corr_rgbCipher_D, corr_rgbDecipher_H, corr_rgbDecipher_V, corr_rgbDecipher_D, corr_redPlain_H, corr_redPlain_V, corr_redPlain_D, corr_greenPlain_H, corr_greenPlain_V, corr_greenPlain_D, corr_bluePlain_H, corr_bluePlain_V, corr_bluePlain_D, corr_redCipher_H, corr_redCipher_V, corr_redCipher_D, corr_greenCipher_H, corr_greenCipher_V, corr_greenCipher_D, corr_blueCipher_H, corr_blueCipher_V, corr_blueCipher_D, corr_redDecipher_H, corr_redDecipher_V, corr_redDecipher_D, corr_greenDecipher_H, corr_greenDecipher_V, corr_greenDecipher_D, corr_blueDecipher_H, corr_blueDecipher_V, corr_blueDecipher_D, corr_redKeySensCipher, corr_greenKeySensCipher, corr_blueKeySensCipher, corr_redKeySensDecipher, corr_greenKeySensDecipher, corr_blueKeySensDecipher  
[27-02-17 01.28.33.845],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F,512,512,3,10.554911,0.242524,0.074051,0.008904,0.000014,0.033839,0.002536,0.362008,0.234694,0.077586,0.009215,0.000013,0.031499,0.002755,0.355836,0.238123,0.079536,0.008672,0.000012,0.032330,0.002269,0.361002,0.260848,0.081484,0.009666,0.000018,0.034510,0.002650,0.389255,0.264466,0.079513,0.008567,0.000011,0.032513,0.003200,0.388347,12.459513,155.435745,168.225960,142.209373,127.636848,127.387394,127.559273,155.435745,168.225960,142.209373,7.485787,7.999745,7.485787,7.415627,7.229479,7.435384,7.999283,7.999219,7.999293,7.415627,7.229479,7.435384,0.996132,0.706203,0.334978,0.198797,0.996189,0.783122,0.334748,0.808364,0.996239,0.882943,0.334975,0.461989,0.995968,0.150739,0.335212,0.212197,0.956568,0.963402,0.920748,0.005972,0.008434,-0.014258,0.956568,0.963402,0.920748,0.955726,0.941976,0.972002,0.962095,0.952699,0.975413,0.926735,0.889685,0.945824,-0.008697,0.022254,0.004359,-0.002900,0.013755,0.014447,0.000032,-0.016542,-0.026263,0.955726,0.941976,0.972002,0.962095,0.952699,0.975413,0.926735,0.889685,0.945824,0.001177,0.001707,0.000885,0.002489,0.002489,0.000639 
[27-02-17 01.31.52.245],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDAD,512,512,3,10.558675,0.249281,0.077659,0.009203,0.000012,0.031630,0.002539,0.370391,0.240257,0.078568,0.011522,0.000013,0.032833,0.002246,0.365504,0.244436,0.074250,0.010054,0.000019,0.031466,0.002244,0.362534,0.250559,0.079859,0.007988,0.000012,0.035200,0.002208,0.375890,0.256141,0.081029,0.008768,0.000012,0.032526,0.002655,0.381198,12.460449,155.435745,168.225960,142.209373,127.530300,127.609592,127.418774,155.435745,168.225960,142.209373,7.485787,7.999783,7.485787,7.415627,7.229479,7.435384,7.999376,7.999338,7.999368,7.415627,7.229479,7.435384,0.996000,0.090491,0.334706,0.792323,0.995907,0.062484,0.334779,0.756763,0.996067,0.413256,0.334746,0.810847,0.996025,0.286513,0.334592,0.925882,0.959174,0.952993,0.920154,-0.001242,0.002947,0.002954,0.959174,0.952993,0.920154,0.956317,0.946417,0.974789,0.960407,0.934387,0.964184,0.918442,0.893028,0.948993,-0.004698,0.000858,0.000112,-0.005710,0.025467,-0.010917,0.000555,-0.013113,0.021420,0.956317,0.946417,0.974789,0.960407,0.934387,0.964184,0.918442,0.893028,0.948993,-0.002204,-0.001290,0.002398,-0.001294,-0.001294,0.001440 
[27-02-17 01.35.06.877],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461,512,512,3,10.800304,0.238028,0.083239,0.009768,0.000015,0.034118,0.002338,0.367573,0.263219,0.081855,0.010222,0.000012,0.034537,0.002538,0.392452,0.268713,0.081786,0.009952,0.000018,0.034180,0.002366,0.397092,0.254832,0.084184,0.009776,0.000019,0.034421,0.002486,0.385790,0.257556,0.078484,0.007639,0.000012,0.032211,0.002743,0.378714,12.773149,155.435745,168.225960,142.209373,127.697163,127.500671,127.623810,155.435745,168.225960,142.209373,7.485787,7.999753,7.485787,7.415627,7.229479,7.435384,7.999317,7.999393,7.999266,7.415627,7.229479,7.435384,0.996110,0.592899,0.334825,0.477720,0.995956,0.129828,0.335564,0.044480,0.996380,0.990571,0.334600,0.939701,0.995995,0.207796,0.334310,0.481322,0.959552,0.961629,0.918778,-0.009747,-0.014465,0.018562,0.959552,0.961629,0.918778,0.959449,0.944152,0.975054,0.960336,0.951432,0.973119,0.922410,0.887624,0.946299,-0.005622,-0.010080,-0.013538,-0.017105,-0.012491,-0.013800,0.042234,0.020741,-0.007289,0.959449,0.944152,0.975054,0.960336,0.951432,0.973119,0.922410,0.887624,0.946299,-0.001475,0.002891,0.000363,0.000984,0.000984,-0.000853 
[27-02-17 01.38.23.089],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03,512,512,3,10.558944,0.254952,0.079477,0.009617,0.000019,0.031963,0.002403,0.378508,0.244437,0.077409,0.010567,0.000017,0.031388,0.002301,0.366184,0.255412,0.082784,0.009324,0.000013,0.034357,0.002441,0.384393,0.256298,0.080564,0.009376,0.000014,0.032543,0.002332,0.381191,0.255319,0.081930,0.008910,0.000014,0.031691,0.002260,0.380188,12.497807,155.435745,168.225960,142.209373,127.448227,127.620224,127.634247,155.435745,168.225960,142.209373,7.485787,7.999758,7.485787,7.415627,7.229479,7.435384,7.999267,7.999311,7.999319,7.415627,7.229479,7.435384,0.996061,0.319172,0.334497,0.603954,0.996098,0.512489,0.334797,0.725998,0.995899,0.055147,0.334520,0.803252,0.996185,0.773815,0.334173,0.317423,0.952708,0.955161,0.921877,-0.009116,-0.015078,-0.006731,0.952708,0.955161,0.921877,0.949626,0.935292,0.973207,0.955323,0.941747,0.968413,0.923461,0.894307,0.947864,-0.001744,-0.010092,-0.015511,-0.025245,0.003556,-0.023545,-0.004687,-0.007550,-0.007957,0.949626,0.935292,0.973207,0.955323,0.941747,0.968413,0.923461,0.894307,0.947864,0.001812,-0.001771,0.001391,0.001514,0.001514,0.000941 
[27-02-17 01.41.40.750],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266,512,512,3,10.555104,0.235726,0.087963,0.009885,0.000013,0.035019,0.002627,0.371305,0.275239,0.089418,0.011736,0.000017,0.034746,0.002759,0.413997,0.275497,0.086862,0.012951,0.000016,0.038260,0.002593,0.416252,0.298555,0.092506,0.012776,0.000018,0.036887,0.003378,0.444215,0.289040,0.084661,0.013131,0.000018,0.037804,0.002701,0.427438,12.683969,155.435745,168.225960,142.209373,127.268982,127.535152,127.326771,155.435745,168.225960,142.209373,7.485787,7.999753,7.485787,7.415627,7.229479,7.435384,7.999358,7.999328,7.999217,7.415627,7.229479,7.435384,0.996146,0.770708,0.334418,0.415371,0.996262,0.915851,0.334073,0.223669,0.996105,0.537419,0.334553,0.858626,0.996071,0.425490,0.334628,0.987423,0.948225,0.951547,0.922897,0.007618,-0.010115,-0.002490,0.948225,0.951547,0.922897,0.950243,0.925613,0.968821,0.950687,0.936826,0.967129,0.921484,0.900169,0.947038,0.029511,0.002492,-0.009148,-0.013642,-0.012367,-0.004338,-0.026908,0.010365,0.009075,0.950243,0.925613,0.968821,0.950687,0.936826,0.967129,0.921484,0.900169,0.947038,-0.001368,-0.000688,-0.003615,-0.002396,-0.002396,-0.000509 
[27-02-17 01.44.57.689],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C8243297,512,512,3,10.552728,0.233430,0.080451,0.011665,0.000015,0.033805,0.002543,0.361978,0.238833,0.075211,0.009850,0.000013,0.033511,0.002249,0.359723,0.239393,0.080472,0.010281,0.000014,0.033587,0.002411,0.366221,0.249194,0.083834,0.008160,0.000014,0.033482,0.002739,0.377489,0.251663,0.081022,0.009196,0.000012,0.032761,0.002666,0.377387,12.443771,155.435745,168.225960,142.209373,127.474747,127.623318,127.473827,155.435745,168.225960,142.209373,7.485787,7.999747,7.485787,7.415627,7.229479,7.435384,7.999278,7.999277,7.999210,7.415627,7.229479,7.435384,0.996096,0.514421,0.334739,0.697505,0.996113,0.562203,0.335247,0.185502,0.996162,0.713487,0.334722,0.850930,0.996014,0.255418,0.334248,0.401637,0.956797,0.960111,0.915287,0.001978,-0.004058,0.004100,0.956797,0.960111,0.915287,0.957362,0.940761,0.972267,0.957105,0.949724,0.973504,0.915934,0.885486,0.944441,0.010767,-0.003366,-0.001466,0.008980,-0.012156,-0.008997,-0.005278,0.003931,0.013647,0.957362,0.940761,0.972267,0.957105,0.949724,0.973504,0.915934,0.885486,0.944441,-0.000726,0.001990,-0.001207,-0.004725,-0.004725,-0.001707 
[27-02-17 01.48.14.715],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B0,512,512,3,10.552096,0.239807,0.073129,0.009864,0.000014,0.032318,0.002507,0.357702,0.232078,0.083289,0.009518,0.000013,0.031730,0.002975,0.359673,0.242130,0.077274,0.011863,0.000014,0.031404,0.002418,0.365174,0.249691,0.080765,0.008338,0.000015,0.035894,0.002897,0.377676,0.249899,0.079361,0.007607,0.000011,0.033171,0.002672,0.372785,12.434232,155.435745,168.225960,142.209373,127.304607,127.517376,127.325993,155.435745,168.225960,142.209373,7.485787,7.999757,7.485787,7.415627,7.229479,7.435384,7.999329,7.999355,7.999214,7.415627,7.229479,7.435384,0.996115,0.620699,0.334709,0.781957,0.996193,0.792204,0.334170,0.314284,0.996178,0.754540,0.334819,0.691200,0.995975,0.165862,0.335138,0.276408,0.952817,0.955998,0.927096,0.015070,0.012059,0.002009,0.952817,0.955998,0.927096,0.950556,0.937110,0.970785,0.953746,0.943845,0.970403,0.924331,0.904923,0.952032,0.017412,0.019891,0.007907,0.005834,0.015333,0.015010,0.005417,-0.005204,0.005814,0.950556,0.937110,0.970785,0.953746,0.943845,0.970403,0.924331,0.904923,0.952032,-0.001488,0.001539,0.000994,-0.002323,-0.002323,-0.000392 
[27-02-17 01.51.33.226],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3,512,512,3,10.548833,0.238682,0.074947,0.007775,0.000015,0.033299,0.002809,0.357601,0.245195,0.074017,0.010282,0.000014,0.034712,0.002623,0.366931,0.247142,0.075825,0.007591,0.000011,0.035396,0.002677,0.368700,0.257350,0.081107,0.010359,0.000012,0.031560,0.002531,0.382985,0.248097,0.082235,0.009064,0.000013,0.033191,0.002464,0.375135,12.448459,155.435745,168.225960,142.209373,127.522881,127.494495,127.508720,155.435745,168.225960,142.209373,7.485787,7.999776,7.485787,7.415627,7.229479,7.435384,7.999331,7.999342,7.999147,7.415627,7.229479,7.435384,0.996176,0.880011,0.334642,0.979947,0.996178,0.754540,0.334744,0.814916,0.996029,0.297262,0.334716,0.862237,0.996323,0.969855,0.334467,0.715797,0.953591,0.953082,0.914663,0.009973,0.013989,-0.006262,0.953591,0.953082,0.914663,0.951409,0.937319,0.972045,0.951672,0.941173,0.966399,0.920867,0.881882,0.941240,0.016061,-0.002129,0.015987,0.016502,0.015685,0.009779,0.013425,-0.003194,-0.029017,0.951409,0.937319,0.972045,0.951672,0.941173,0.966399,0.920867,0.881882,0.941240,0.001598,0.003266,-0.001139,0.001643,0.001643,-0.001776 
[27-02-17 01.54.53.073],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1,512,512,3,10.543273,0.233797,0.078294,0.010943,0.000018,0.032121,0.002576,0.357825,0.247610,0.075646,0.008493,0.000013,0.034761,0.002440,0.369028,0.236548,0.080425,0.013034,0.000016,0.031806,0.002308,0.364205,0.255357,0.084114,0.008836,0.000013,0.033624,0.002620,0.384632,0.251678,0.083647,0.010592,0.000045,0.032965,0.002320,0.381317,12.448439,155.435745,168.225960,142.209373,127.615562,127.713654,127.528473,155.435745,168.225960,142.209373,7.485787,7.999768,7.485787,7.415627,7.229479,7.435384,7.999252,7.999343,7.999353,7.415627,7.229479,7.435384,0.995893,0.002143,0.334066,0.032924,0.995804,0.008664,0.333507,0.014593,0.995869,0.032347,0.334642,0.988043,0.996006,0.235714,0.334050,0.205108,0.949473,0.957969,0.920193,-0.004470,-0.005834,-0.001835,0.949473,0.957969,0.920193,0.946351,0.933239,0.968830,0.962405,0.942722,0.968781,0.918757,0.892628,0.949195,-0.016622,-0.013404,0.016617,-0.025993,0.006222,0.002269,0.005568,0.013210,-0.024285,0.946351,0.933239,0.968830,0.962405,0.942722,0.968781,0.918757,0.892628,0.949195,-0.000112,0.001961,-0.000200,-0.000915,-0.000915,-0.000251 
[27-02-17 01.58.17.588],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A,512,512,3,10.525288,0.240015,0.077301,0.007974,0.000013,0.032543,0.002546,0.360461,0.241861,0.074915,0.008045,0.000012,0.032989,0.002955,0.360854,0.241100,0.077691,0.007712,0.000013,0.035824,0.002175,0.364573,0.262310,0.088192,0.011053,0.000013,0.032443,0.002634,0.396713,0.258044,0.080826,0.007931,0.000012,0.034486,0.002149,0.383507,12.437530,155.435745,168.225960,142.209373,127.538464,127.340084,127.252659,155.435745,168.225960,142.209373,7.485787,7.999735,7.485787,7.415627,7.229479,7.435384,7.999199,7.999112,7.999339,7.415627,7.229479,7.435384,0.996207,0.946181,0.334876,0.367388,0.996216,0.841818,0.335381,0.106670,0.996212,0.834138,0.333920,0.121718,0.996193,0.792204,0.335327,0.134786,0.962071,0.955250,0.908417,0.001294,-0.007030,-0.009651,0.962071,0.955250,0.908417,0.959889,0.949566,0.976759,0.957061,0.941024,0.967665,0.919564,0.872456,0.933232,-0.002457,0.007234,-0.000895,0.019226,-0.027972,-0.012343,0.002809,-0.024367,-0.007394,0.959889,0.949566,0.976759,0.957061,0.941024,0.967665,0.919564,0.872456,0.933232,-0.001419,0.001361,0.000635,0.001070,0.001070,0.002706 
[27-02-17 02.01.34.266],FF834E94C9D2B7A78569,FF834E94C9D2B7A78769,0C6B1AA48E2F0A58,512,512,3,10.562653,0.245459,0.083019,0.008786,0.000015,0.032999,0.002299,0.372643,0.240484,0.075534,0.007604,0.000012,0.033851,0.002520,0.360064,0.246477,0.080869,0.007990,0.000038,0.033950,0.002899,0.372299,0.247024,0.080919,0.008331,0.000011,0.033091,0.002739,0.372182,0.245986,0.084517,0.012450,0.000018,0.034761,0.002605,0.380410,12.465867,155.435745,168.225960,142.209373,127.588203,127.394176,127.492817,155.435745,168.225960,142.209373,7.485787,7.999772,7.485787,7.415627,7.229479,7.435384,7.999301,7.999318,7.999249,7.415627,7.229479,7.435384,0.996028,0.173601,0.334858,0.404656,0.996227,0.863437,0.335782,0.013093,0.995777,0.004677,0.334561,0.872679,0.996078,0.450165,0.334230,0.380156,0.954548,0.956506,0.913090,0.014076,0.008922,0.014350,0.954548,0.956506,0.913090,0.952236,0.937495,0.973914,0.951548,0.945893,0.972078,0.922762,0.877373,0.939134,0.003329,0.026121,0.012778,0.039797,-0.007326,-0.005704,0.009971,0.011151,0.021929,0.952236,0.937495,0.973914,0.951548,0.945893,0.972078,0.922762,0.877373,0.939134,0.001875,0.000223,0.000471,0.001043,0.001043,-0.003466 
[27-02-17 02.04.52.542],38A7118D4AEC77FED4B5,38A7158D4AEC77FED4B5,B594C1A86789C95D,512,512,3,10.588168,0.239246,0.075497,0.008384,0.000012,0.033119,0.002643,0.358961,0.244531,0.075092,0.010017,0.000016,0.033652,0.002618,0.365994,0.233710,0.074742,0.010695,0.000013,0.032452,0.002714,0.354391,0.267548,0.080624,0.008344,0.000012,0.031615,0.001986,0.390191,0.255923,0.081444,0.010084,0.000014,0.031710,0.002324,0.381568,12.487342,155.435745,168.225960,142.209373,127.286095,127.612030,127.470730,155.435745,168.225960,142.209373,7.485787,7.999785,7.485787,7.415627,7.229479,7.435384,7.999382,7.999403,7.999215,7.415627,7.229479,7.435384,0.996070,0.365621,0.334568,0.800212,0.995964,0.143533,0.334836,0.663985,0.996155,0.691807,0.333985,0.159122,0.996090,0.487511,0.334883,0.592457,0.954912,0.958047,0.911865,-0.013841,-0.008790,-0.008346,0.954912,0.958047,0.911865,0.952484,0.941406,0.970845,0.960566,0.944559,0.969016,0.924618,0.874809,0.936168,-0.003062,-0.015897,-0.022564,-0.011931,0.006083,-0.020523,0.002196,-0.009732,-0.017503,0.952484,0.941406,0.970845,0.960566,0.944559,0.969016,0.924618,0.874809,0.936168,-0.000939,-0.001272,0.000568,0.002299,0.002299,-0.002124 
[27-02-17 02.08.11.272],6C26C7CD54255BA75C01,6C26C7CD74255BA75C01,E58F9339177D8452,512,512,3,10.581719,0.252372,0.077036,0.007843,0.000014,0.033205,0.002304,0.372847,0.240053,0.075115,0.011558,0.000018,0.032609,0.002920,0.362347,0.247412,0.075375,0.009270,0.000013,0.032322,0.002312,0.366774,0.250729,0.082762,0.009073,0.000012,0.031541,0.002464,0.376650,0.261247,0.086976,0.008907,0.000017,0.033393,0.002439,0.393052,12.498771,155.435745,168.225960,142.209373,127.600826,127.461494,127.430397,155.435745,168.225960,142.209373,7.485787,7.999795,7.485787,7.415627,7.229479,7.435384,7.999386,7.999322,7.999370,7.415627,7.229479,7.435384,0.996147,0.776150,0.334409,0.397133,0.996216,0.841818,0.334474,0.727456,0.996044,0.341987,0.334478,0.733175,0.996181,0.764286,0.334276,0.437040,0.951315,0.953473,0.919796,-0.004224,0.001227,0.000592,0.951315,0.953473,0.919796,0.949162,0.933413,0.971372,0.960531,0.935841,0.964049,0.921860,0.891965,0.945565,-0.010126,-0.010421,0.007875,0.012038,-0.012002,0.003645,-0.008337,0.010667,-0.000555,0.949162,0.933413,0.971372,0.960531,0.935841,0.964049,0.921860,0.891965,0.945565,-0.000926,-0.004750,-0.001864,0.000013,0.000013,-0.001791 
[27-02-17 02.11.29.353],35EF2953FE96A8C201F3,35EF2153FE96A8C201F3,FA60092455AABEDD,512,512,3,10.451273,0.248494,0.077258,0.009406,0.000014,0.031247,0.002565,0.369054,0.252812,0.077407,0.007706,0.000012,0.032827,0.002465,0.373300,0.236362,0.078253,0.008759,0.000012,0.031495,0.002769,0.357716,0.260057,0.082747,0.010115,0.000018,0.033017,0.002788,0.388809,0.259197,0.078960,0.008550,0.000016,0.034336,0.002285,0.383404,12.375576,155.435745,168.225960,142.209373,127.595249,127.369522,127.509800,155.435745,168.225960,142.209373,7.485787,7.999765,7.485787,7.415627,7.229479,7.435384,7.999287,7.999262,7.999230,7.415627,7.229479,7.435384,0.996108,0.578811,0.334912,0.299590,0.996056,0.377098,0.336151,0.001043,0.996098,0.512489,0.334532,0.822715,0.996170,0.734416,0.334054,0.208402,0.952478,0.956858,0.914878,0.006427,-0.007637,0.008723,0.952478,0.956858,0.914878,0.952477,0.934304,0.970652,0.955013,0.946122,0.969438,0.918049,0.885165,0.941420,0.021211,-0.005315,0.003386,-0.006910,-0.010106,-0.005896,0.035216,-0.001777,-0.007269,0.952477,0.934304,0.970652,0.955013,0.946122,0.969438,0.918049,0.885165,0.941420,0.003962,-0.001260,0.001890,0.001942,0.001942,0.003575 
[27-02-17 02.14.46.297],C28AD5246973C3555A0A,C28ED5246973C3555A0A,71E7A72248BAF3F0,512,512,3,10.589586,0.254107,0.077474,0.009523,0.000016,0.031714,0.002443,0.375354,0.235358,0.076738,0.009428,0.000013,0.031829,0.003002,0.356443,0.245967,0.076693,0.008528,0.000012,0.032425,0.002152,0.365836,0.262770,0.082880,0.008858,0.000013,0.033074,0.002894,0.390552,0.258265,0.078626,0.007669,0.000012,0.033580,0.002519,0.380735,12.504272,155.435745,168.225960,142.209373,127.518070,127.553051,127.392342,155.435745,168.225960,142.209373,7.485787,7.999774,7.485787,7.415627,7.229479,7.435384,7.999304,7.999275,7.999348,7.415627,7.229479,7.435384,0.996031,0.187863,0.335078,0.096975,0.995922,0.079417,0.335617,0.033690,0.996037,0.319296,0.334607,0.950677,0.996136,0.634736,0.335011,0.416348,0.951799,0.950189,0.921595,-0.011637,0.007647,-0.009293,0.951799,0.950189,0.921595,0.951560,0.932068,0.971767,0.955406,0.932437,0.962723,0.921980,0.894375,0.948429,-0.012886,-0.021044,-0.000982,0.000943,0.027672,-0.005673,-0.031044,0.007650,-0.004487,0.951560,0.932068,0.971767,0.955406,0.932437,0.962723,0.921980,0.894375,0.948429,0.003109,0.003053,-0.001219,0.001842,0.001842,-0.001908 
[27-02-17 02.18.03.208],467C19AD051ADFFF2E79,467C18AD051ADFFF2E79,8626563B1ED4A6B8,512,512,3,10.448993,0.236709,0.077989,0.007619,0.000011,0.032178,0.002335,0.356901,0.241917,0.075113,0.011596,0.000012,0.032364,0.002227,0.363290,0.253706,0.081749,0.010052,0.000013,0.032440,0.002315,0.380344,0.241645,0.079805,0.008429,0.000011,0.032937,0.002843,0.365744,0.248139,0.081539,0.008180,0.000012,0.033507,0.002891,0.374332,12.337467,155.435745,168.225960,142.209373,127.537678,127.519070,127.423737,155.435745,168.225960,142.209373,7.485787,7.999761,7.485787,7.415627,7.229479,7.435384,7.999295,7.999269,7.999264,7.415627,7.229479,7.435384,0.996096,0.514421,0.334761,0.639141,0.996147,0.669436,0.334623,0.977947,0.996082,0.462581,0.334815,0.697584,0.996059,0.389048,0.334844,0.651833,0.953230,0.960024,0.924119,0.001917,0.001954,-0.000640,0.953230,0.960024,0.924119,0.951351,0.936030,0.972309,0.963383,0.946871,0.969819,0.929064,0.897899,0.945395,-0.025224,0.005443,0.025533,0.001274,0.018672,-0.014085,-0.016003,-0.007407,0.021490,0.951351,0.936030,0.972309,0.963383,0.946871,0.969819,0.929064,0.897899,0.945395,-0.001698,-0.003297,0.002514,-0.001866,-0.001866,0.000521 
[27-02-17 02.21.23.117],41F9C56AEE332C7207B8,41F9C56AEE332C7307B8,FC952AC6FF47DF03,512,512,3,10.573172,0.238623,0.081257,0.008984,0.000013,0.032372,0.002148,0.363461,0.252065,0.075249,0.008708,0.000012,0.033440,0.002534,0.372069,0.244137,0.077466,0.010523,0.000019,0.034014,0.002423,0.368653,0.250383,0.083004,0.008493,0.000011,0.031982,0.002449,0.376377,0.253810,0.086799,0.008395,0.000013,0.032277,0.002918,0.384288,12.487560,155.435745,168.225960,142.209373,127.343262,127.560692,127.450554,155.435745,168.225960,142.209373,7.485787,7.999741,7.485787,7.415627,7.229479,7.435384,7.999293,7.999237,7.999262,7.415627,7.229479,7.435384,0.995937,0.013090,0.334228,0.126860,0.995979,0.173779,0.334088,0.236397,0.995941,0.105203,0.333471,0.011737,0.995892,0.048508,0.335125,0.289216,0.958062,0.956709,0.913119,-0.012085,0.000851,-0.011574,0.958062,0.956709,0.913119,0.958579,0.940984,0.974623,0.954696,0.945791,0.969639,0.914429,0.882871,0.942059,-0.011925,-0.016554,-0.007777,0.002441,0.007977,-0.007866,-0.033822,-0.006590,0.005691,0.958579,0.940984,0.974623,0.954696,0.945791,0.969639,0.914429,0.882871,0.942059,0.000773,0.000029,-0.001975,-0.000394,-0.000394,0.002424 
[27-02-17 02.24.41.439],63424D887EF1A2A3F316,634245887EF1A2A3F316,C6F0D7BDBEC8F12B,512,512,3,10.528524,0.247201,0.073522,0.007913,0.000015,0.035334,0.002701,0.366750,0.231823,0.075292,0.008162,0.000011,0.032619,0.002672,0.350640,0.241770,0.075162,0.010062,0.000013,0.034273,0.002461,0.363803,0.256889,0.085280,0.009268,0.000012,0.033166,0.002712,0.387410,0.265172,0.080506,0.008933,0.000012,0.033704,0.002587,0.390984,12.437118,155.435745,168.225960,142.209373,127.329399,127.642994,127.504467,155.435745,168.225960,142.209373,7.485787,7.999793,7.485787,7.415627,7.229479,7.435384,7.999347,7.999320,7.999337,7.415627,7.229479,7.435384,0.995998,0.087579,0.334590,0.863566,0.996044,0.341987,0.334432,0.659760,0.996006,0.235714,0.334777,0.759374,0.995945,0.111017,0.334560,0.869977,0.958472,0.958210,0.924884,0.003026,0.013081,0.002060,0.958472,0.958210,0.924884,0.957975,0.943805,0.973637,0.957729,0.946252,0.970649,0.922246,0.899652,0.952755,-0.007521,0.006792,0.009808,0.022596,0.023389,-0.006742,-0.004842,0.000853,0.010170,0.957975,0.943805,0.973637,0.957729,0.946252,0.970649,0.922246,0.899652,0.952755,0.002797,-0.000139,0.000971,-0.001665,-0.001665,0.003156 
[27-02-17 02.28.00.850],096CAFE22D37D9F8DE4D,096CAFE22D37D9F9DE4D,2E7B14A490AE049C,512,512,3,10.540879,0.235149,0.077660,0.007801,0.000014,0.031430,0.002575,0.354696,0.253771,0.079575,0.008133,0.000012,0.031691,0.002574,0.375820,0.239241,0.077998,0.008792,0.000013,0.032603,0.002574,0.361288,0.269486,0.081565,0.009175,0.000012,0.033256,0.002147,0.395709,0.259801,0.080500,0.010272,0.000013,0.032040,0.002315,0.385002,12.459410,155.435745,168.225960,142.209373,127.603394,127.638680,127.330219,155.435745,168.225960,142.209373,7.485787,7.999753,7.485787,7.415627,7.229479,7.435384,7.999332,7.999163,7.999264,7.415627,7.229479,7.435384,0.996124,0.667805,0.334958,0.226677,0.996246,0.894797,0.334646,0.981045,0.995945,0.111017,0.334821,0.687433,0.996181,0.764286,0.335406,0.095338,0.952615,0.953728,0.912077,-0.006477,0.001170,0.004327,0.952615,0.953728,0.912077,0.947267,0.939360,0.971217,0.953922,0.939990,0.967272,0.918941,0.876859,0.940433,0.009775,-0.020687,-0.008520,-0.001674,0.006620,-0.001437,0.012232,0.002335,-0.001585,0.947267,0.939360,0.971217,0.953922,0.939990,0.967272,0.918941,0.876859,0.940433,-0.001030,0.000889,-0.003719,-0.002883,-0.002883,-0.002672 
