script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, redIntensityPlain, greenIntensityPlain, blueIntensityPlain, redIntensityCipher, greenIntensityCipher, blueIntensityCipher, redIntensityDecipher, greenIntensityDecipher, blueIntensityDecipher, entropyRGBPlain,    entropyRGBCipher,     entropyRGBDecipher, entropyRedPlain,    entropyGreenPlain,    entropyBluePlain, entropyRedCipher,   entropyGreenCipher,   entropyBlueCipher, entropyRedDecipher, entropyGreenDecipher, entropyBlueDecipher, diff_RGB_NPCRscore,   diff_RGB_NPCRpval,   diff_RGB_UACIscore,   diff_RGB_UACIpval, diff_Red_NPCRscore,   diff_Red_NPCRpval,   diff_Red_UACIscore,   diff_Red_UACIpval, diff_Green_NPCRscore, diff_Green_NPCRpval, diff_Green_UACIscore, diff_Green_UACIpval, diff_Blue_NPCRscore,  diff_Blue_NPCRpval,  diff_Blue_UACIscore,  diff_Blue_UACIpval, corr_rgbPlain_H, corr_rgbPlain_V, corr_rgbPlain_D, corr_rgbCipher_H, corr_rgbCipher_V, corr_rgbCipher_D, corr_rgbDecipher_H, corr_rgbDecipher_V, corr_rgbDecipher_D, corr_redPlain_H, corr_redPlain_V, corr_redPlain_D, corr_greenPlain_H, corr_greenPlain_V, corr_greenPlain_D, corr_bluePlain_H, corr_bluePlain_V, corr_bluePlain_D, corr_redCipher_H, corr_redCipher_V, corr_redCipher_D, corr_greenCipher_H, corr_greenCipher_V, corr_greenCipher_D, corr_blueCipher_H, corr_blueCipher_V, corr_blueCipher_D, corr_redDecipher_H, corr_redDecipher_V, corr_redDecipher_D, corr_greenDecipher_H, corr_greenDecipher_V, corr_greenDecipher_D, corr_blueDecipher_H, corr_blueDecipher_V, corr_blueDecipher_D, corr_redKeySensCipher, corr_greenKeySensCipher, corr_blueKeySensCipher, corr_redKeySensDecipher, corr_greenKeySensDecipher, corr_blueKeySensDecipher  
[21-02-17 22.27.21.699],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F,256,256,3,2.669411,0.056536,0.021578,0.002988,0.000016,0.009287,0.001274,0.091756,0.053963,0.016473,0.002259,0.000009,0.008200,0.000951,0.081920,0.053387,0.016925,0.001959,0.000011,0.007758,0.000930,0.081027,0.061695,0.018922,0.002214,0.000013,0.008511,0.001115,0.092527,0.062805,0.018698,0.001855,0.000009,0.007672,0.001158,0.092254,3.121140,174.897430,170.865936,128.346130,127.532608,127.297134,127.759567,174.897430,170.865936,128.346130,6.852716,7.999063,6.852716,5.791993,6.219509,6.798641,7.997025,7.997445,7.997264,5.791993,6.219509,6.798641,0.996236,0.844313,0.335149,0.335702,0.996201,0.669436,0.335121,0.599256,0.996185,0.646443,0.334511,0.892937,0.996323,0.826221,0.335815,0.201761,0.970548,0.973321,0.947249,0.002916,-0.004030,-0.009010,0.970548,0.973321,0.947249,0.970369,0.967151,0.974124,0.971634,0.970556,0.977773,0.945801,0.944622,0.951323,-0.014993,0.027915,-0.004174,0.003676,-0.007902,-0.007863,-0.001735,-0.008670,-0.016624,0.970369,0.967151,0.974124,0.971634,0.970556,0.977773,0.945801,0.944622,0.951323,0.000980,-0.002167,0.000586,-0.003889,-0.003889,0.002708 
[21-02-17 22.30.12.688],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDAD,256,256,3,2.666092,0.056330,0.017536,0.003032,0.000013,0.007595,0.000945,0.085506,0.056983,0.020269,0.002802,0.000014,0.007799,0.000849,0.088768,0.054902,0.017131,0.002457,0.000011,0.007954,0.000959,0.083490,0.061384,0.018642,0.002091,0.000012,0.008377,0.000974,0.091538,0.057850,0.019387,0.003280,0.000014,0.008304,0.000966,0.089851,3.116382,174.897430,170.865936,128.346130,127.297531,127.240707,127.717270,174.897430,170.865936,128.346130,6.852716,7.999174,6.852716,5.791993,6.219509,6.798641,7.997066,7.997388,7.997190,5.791993,6.219509,6.798641,0.995692,0.002143,0.335203,0.287794,0.995895,0.207796,0.334178,0.620752,0.995331,0.000871,0.335476,0.363364,0.995850,0.158182,0.335954,0.153599,0.976263,0.975652,0.952927,-0.000200,-0.007521,-0.003231,0.976263,0.975652,0.952927,0.975543,0.972988,0.980258,0.973522,0.974499,0.978934,0.948280,0.949000,0.961500,-0.004103,0.006656,-0.003153,-0.000575,-0.017244,-0.004744,0.000735,0.000221,-0.010649,0.975543,0.972988,0.980258,0.973522,0.974499,0.978934,0.948280,0.949000,0.961500,-0.002852,-0.001497,-0.011358,-0.004307,-0.004307,-0.006989 
[21-02-17 22.33.01.689],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461,256,256,3,2.770619,0.055816,0.017610,0.002528,0.000012,0.008003,0.000946,0.084980,0.058885,0.017530,0.001887,0.000009,0.007979,0.001146,0.087488,0.053930,0.016676,0.001877,0.000008,0.008014,0.000921,0.081469,0.061200,0.018995,0.003150,0.000015,0.009145,0.000958,0.093522,0.059546,0.018939,0.002096,0.000009,0.008098,0.001014,0.089748,3.219210,174.897430,170.865936,128.346130,128.213516,127.397476,127.492111,174.897430,170.865936,128.346130,6.852716,7.999113,6.852716,5.791993,6.219509,6.798641,7.997149,7.996859,7.997414,5.791993,6.219509,6.798641,0.996012,0.281470,0.334624,0.982228,0.996124,0.549835,0.333416,0.187077,0.995972,0.308193,0.335700,0.249296,0.995941,0.265584,0.334754,0.897648,0.970600,0.974232,0.951960,0.003158,0.013477,0.009676,0.970600,0.974232,0.951960,0.971432,0.966747,0.973620,0.971592,0.973124,0.977981,0.950702,0.946432,0.958747,0.010097,-0.007080,0.006457,0.027985,0.012865,-0.000418,-0.003150,0.019121,0.013056,0.971432,0.966747,0.973620,0.971592,0.973124,0.977981,0.950702,0.946432,0.958747,-0.003462,0.001841,-0.000103,-0.000223,-0.000223,0.005791 
[21-02-17 22.35.52.410],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03,256,256,3,2.668022,0.051271,0.016843,0.001833,0.000009,0.008326,0.000951,0.079284,0.051598,0.016402,0.001932,0.000011,0.007734,0.000955,0.078686,0.054534,0.017404,0.001881,0.000009,0.007801,0.001156,0.082834,0.060067,0.019015,0.003208,0.000015,0.008217,0.001018,0.091597,0.057922,0.019232,0.001903,0.000009,0.007388,0.000983,0.087475,3.100104,174.897430,170.865936,128.346130,127.453323,127.769577,127.654434,174.897430,170.865936,128.346130,6.852716,7.998944,6.852716,5.791993,6.219509,6.798641,7.996919,7.997255,7.997114,5.791993,6.219509,6.798641,0.996119,0.571728,0.334341,0.580586,0.996246,0.734416,0.334441,0.833258,0.996292,0.792204,0.334716,0.930100,0.995819,0.129828,0.333864,0.404167,0.975376,0.974790,0.950422,0.002584,0.004384,-0.016350,0.975376,0.974790,0.950422,0.974280,0.972938,0.978910,0.973117,0.972316,0.978937,0.944526,0.949765,0.956973,-0.009369,0.012850,0.004271,-0.002498,0.010001,0.005648,-0.021145,-0.022178,-0.005727,0.974280,0.972938,0.978910,0.973117,0.972316,0.978937,0.944526,0.949765,0.956973,0.002771,0.001938,-0.005222,-0.002419,-0.002419,-0.000328 
[21-02-17 22.38.41.293],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266,256,256,3,2.666910,0.057806,0.017081,0.001797,0.000008,0.007913,0.001121,0.085777,0.053071,0.018155,0.001777,0.000007,0.007781,0.001150,0.081991,0.055310,0.018197,0.002176,0.000009,0.007171,0.001008,0.083926,0.062151,0.018344,0.001933,0.000009,0.009129,0.001180,0.092791,0.057993,0.019241,0.001934,0.000013,0.008038,0.000990,0.088263,3.111907,174.897430,170.865936,128.346130,128.140884,127.283417,127.254456,174.897430,170.865936,128.346130,6.852716,7.999003,6.852716,5.791993,6.219509,6.798641,7.997171,7.996930,7.997337,5.791993,6.219509,6.798641,0.996145,0.641156,0.334338,0.577033,0.996155,0.598896,0.333450,0.199733,0.995911,0.226185,0.335748,0.228848,0.996368,0.870172,0.333816,0.375064,0.975639,0.973934,0.958108,-0.013645,-0.003943,-0.007772,0.975639,0.973934,0.958108,0.973906,0.974214,0.978796,0.973015,0.972438,0.976351,0.953079,0.956302,0.964943,0.000573,-0.010833,-0.030674,-0.002954,-0.017192,0.008316,-0.010143,-0.000299,-0.012874,0.973906,0.974214,0.978796,0.973015,0.972438,0.976351,0.953079,0.956302,0.964943,-0.000295,0.000957,-0.005033,0.009177,0.009177,-0.003870 
[21-02-17 22.41.30.599],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C8243297,256,256,3,2.678764,0.055868,0.017916,0.001952,0.000010,0.007654,0.000974,0.084425,0.054343,0.018623,0.001945,0.000012,0.008035,0.000958,0.083970,0.052657,0.016684,0.001876,0.000008,0.007848,0.000962,0.080089,0.065220,0.021628,0.002712,0.000017,0.009324,0.001530,0.100504,0.061096,0.019519,0.002274,0.000010,0.007474,0.000975,0.091402,3.131368,174.897430,170.865936,128.346130,127.406754,127.234879,127.284210,174.897430,170.865936,128.346130,6.852716,7.998993,6.852716,5.791993,6.219509,6.798641,7.997187,7.997276,7.997275,5.791993,6.219509,6.798641,0.995931,0.123644,0.334902,0.617538,0.995895,0.207796,0.335690,0.254116,0.995987,0.330564,0.334850,0.816172,0.995911,0.226185,0.334166,0.611459,0.975170,0.976201,0.952286,0.003921,0.009744,0.003070,0.975170,0.976201,0.952286,0.974492,0.972700,0.978319,0.976435,0.973942,0.978227,0.946550,0.948877,0.961430,0.002858,-0.001473,0.010377,0.013979,0.006870,0.008381,0.003265,-0.002044,0.007990,0.974492,0.972700,0.978319,0.976435,0.973942,0.978227,0.946550,0.948877,0.961430,-0.000332,-0.001033,-0.000077,-0.003209,-0.003209,-0.001632 
[21-02-17 22.44.19.948],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B0,256,256,3,2.763176,0.055227,0.018540,0.001910,0.000009,0.007843,0.000989,0.084565,0.053410,0.017835,0.002236,0.000010,0.007820,0.000928,0.082287,0.054681,0.018096,0.001872,0.000009,0.008074,0.000960,0.083744,0.062180,0.019166,0.002143,0.000009,0.007881,0.001029,0.092459,0.060673,0.021453,0.002684,0.000012,0.007803,0.000943,0.093624,3.210419,174.897430,170.865936,128.346130,127.745224,127.200577,127.464828,174.897430,170.865936,128.346130,6.852716,7.999080,6.852716,5.791993,6.219509,6.798641,7.997137,7.997366,7.997000,5.791993,6.219509,6.798641,0.996140,0.627559,0.333565,0.044792,0.996185,0.646443,0.333304,0.149846,0.996094,0.500000,0.333480,0.211202,0.996140,0.574510,0.333910,0.432339,0.973620,0.974564,0.944032,0.002004,-0.003491,-0.005926,0.973620,0.974564,0.944032,0.974629,0.971093,0.975137,0.971249,0.973969,0.978473,0.938935,0.938759,0.954403,-0.006967,0.007033,0.005945,-0.001319,-0.005875,-0.003279,-0.013969,0.001121,-0.004930,0.974629,0.971093,0.975137,0.971249,0.973969,0.978473,0.938935,0.938759,0.954403,-0.007143,0.000500,-0.002091,-0.000935,-0.000935,-0.002056 
[21-02-17 22.47.09.322],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3,256,256,3,2.680014,0.056659,0.017738,0.002426,0.000011,0.008221,0.001021,0.086123,0.056269,0.017543,0.002353,0.000012,0.007705,0.000972,0.084915,0.055766,0.017560,0.001956,0.000012,0.007564,0.000967,0.083874,0.063985,0.019628,0.001889,0.000009,0.008468,0.000963,0.094988,0.060726,0.019964,0.001992,0.000009,0.007560,0.000986,0.091280,3.131843,174.897430,170.865936,128.346130,127.499542,127.619751,128.035248,174.897430,170.865936,128.346130,6.852716,7.999155,6.852716,5.791993,6.219509,6.798641,7.997484,7.997314,7.997609,5.791993,6.219509,6.798641,0.996129,0.599899,0.334636,0.999761,0.996185,0.646443,0.335082,0.628680,0.995987,0.330564,0.334550,0.926345,0.996216,0.691807,0.334274,0.696076,0.973298,0.977599,0.952217,-0.002219,0.000633,-0.012802,0.973298,0.977599,0.952217,0.973940,0.969776,0.976178,0.974940,0.976402,0.981457,0.948239,0.949859,0.958555,-0.023291,-0.007782,0.024415,0.001764,-0.011296,0.011432,0.001118,-0.024088,-0.015435,0.973940,0.969776,0.976178,0.974940,0.976402,0.981457,0.948239,0.949859,0.958555,-0.004438,0.006305,0.005759,0.001170,0.001170,0.006019 
[21-02-17 22.49.58.854],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1,256,256,3,2.686101,0.058467,0.016700,0.001910,0.000011,0.007985,0.000984,0.086110,0.054516,0.017664,0.001977,0.000010,0.007596,0.000972,0.082797,0.052536,0.019543,0.002177,0.000012,0.007954,0.000955,0.083244,0.061995,0.019411,0.001906,0.000009,0.007921,0.000973,0.092264,0.056786,0.019761,0.003045,0.000013,0.008825,0.001168,0.089662,3.132354,174.897430,170.865936,128.346130,127.858337,127.247833,127.945816,174.897430,170.865936,128.346130,6.852716,7.999178,6.852716,5.791993,6.219509,6.798641,7.997505,7.997499,7.997399,5.791993,6.219509,6.798641,0.995763,0.009385,0.334176,0.389036,0.995789,0.105203,0.334200,0.637252,0.996063,0.450165,0.335046,0.656879,0.995438,0.003543,0.333282,0.143027,0.974267,0.973783,0.951738,-0.013453,-0.000859,0.000669,0.974267,0.973783,0.951738,0.973757,0.971163,0.977882,0.972454,0.972074,0.976821,0.947393,0.948873,0.958947,-0.016621,-0.006626,-0.017112,-0.005361,0.004552,-0.001767,0.004657,-0.011299,0.008649,0.973757,0.971163,0.977882,0.972454,0.972074,0.976821,0.947393,0.948873,0.958947,0.001408,-0.002546,-0.003223,-0.004689,-0.004689,-0.004902 
[21-02-17 22.52.48.302],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A,256,256,3,2.684122,0.062478,0.019695,0.002459,0.000012,0.008822,0.000942,0.094465,0.064011,0.019463,0.002696,0.000013,0.009175,0.001165,0.096582,0.067224,0.019950,0.002104,0.000015,0.008810,0.001108,0.099275,0.071790,0.021109,0.002612,0.000015,0.009030,0.000942,0.105562,0.067070,0.021653,0.002631,0.000013,0.008206,0.000998,0.100632,3.193418,174.897430,170.865936,128.346130,127.665314,127.406189,127.393936,174.897430,170.865936,128.346130,6.852716,7.999121,6.852716,5.791993,6.219509,6.798641,7.997282,7.996831,7.997271,5.791993,6.219509,6.798641,0.996272,0.897141,0.335028,0.462454,0.996597,0.980611,0.334769,0.885418,0.996323,0.826221,0.333445,0.197856,0.995895,0.207796,0.336869,0.015679,0.975191,0.976727,0.954463,0.002868,0.013260,-0.004964,0.975191,0.976727,0.954463,0.975479,0.971494,0.978601,0.976205,0.976061,0.977917,0.950572,0.951565,0.961253,0.000941,-0.003791,0.011454,0.021053,0.011229,0.007496,-0.014884,0.012072,-0.012081,0.975479,0.971494,0.978601,0.976205,0.976061,0.977917,0.950572,0.951565,0.961253,0.002612,-0.002135,0.002559,0.003379,0.003379,-0.005511 
[21-02-17 22.55.38.896],FF834E94C9D2B7A78569,FF834E94C9D2B7A78769,0C6B1AA48E2F0A58,256,256,3,2.675501,0.052588,0.017647,0.003225,0.000014,0.007725,0.000978,0.082230,0.054682,0.017898,0.002092,0.000010,0.007772,0.001087,0.083596,0.054178,0.017395,0.001866,0.000008,0.008127,0.000939,0.082560,0.062122,0.022014,0.002769,0.000016,0.009479,0.000883,0.097340,0.065422,0.019095,0.003136,0.000014,0.008039,0.000952,0.096711,3.128091,174.897430,170.865936,128.346130,127.370483,127.232544,127.826797,174.897430,170.865936,128.346130,6.852716,7.999065,6.852716,5.791993,6.219509,6.798641,7.997092,7.997576,7.996983,5.791993,6.219509,6.798641,0.996231,0.835514,0.335409,0.147090,0.996170,0.622902,0.335701,0.248897,0.996048,0.425490,0.335295,0.475437,0.996475,0.941274,0.335231,0.519195,0.975823,0.976037,0.951356,0.001962,0.001796,-0.000567,0.975823,0.976037,0.951356,0.974320,0.973446,0.979702,0.972113,0.975295,0.980702,0.951506,0.947600,0.954962,0.010596,0.006548,-0.011259,0.010413,0.011984,-0.017007,0.000977,0.003900,-0.006579,0.974320,0.973446,0.979702,0.972113,0.975295,0.980702,0.951506,0.947600,0.954962,0.001588,-0.000113,0.002577,-0.002579,-0.002579,-0.003397 
[21-02-17 22.58.28.737],38A7118D4AEC77FED4B5,38A7158D4AEC77FED4B5,B594C1A86789C95D,256,256,3,2.763374,0.055692,0.018028,0.001826,0.000008,0.008254,0.001154,0.085017,0.052380,0.017662,0.002198,0.000010,0.008300,0.001164,0.081768,0.054515,0.018200,0.002119,0.000012,0.007601,0.000986,0.083492,0.064697,0.019657,0.001947,0.000011,0.007870,0.000954,0.095184,0.059958,0.019976,0.001790,0.000008,0.008029,0.001037,0.090844,3.212245,174.897430,170.865936,128.346130,127.879013,127.801895,128.137115,174.897430,170.865936,128.346130,6.852716,7.999122,6.852716,5.791993,6.219509,6.798641,7.997469,7.997361,7.996988,5.791993,6.219509,6.798641,0.995921,0.109485,0.333963,0.207420,0.995743,0.074889,0.335142,0.583426,0.996201,0.669436,0.333129,0.103181,0.995819,0.129828,0.333616,0.270313,0.975723,0.975859,0.949054,0.010441,0.000118,0.014190,0.975723,0.975859,0.949054,0.976521,0.972321,0.978328,0.975673,0.973507,0.978397,0.945139,0.944419,0.957605,0.024442,0.003059,0.003824,-0.006677,0.013252,-0.006220,0.023918,-0.000164,0.018817,0.976521,0.972321,0.978328,0.975673,0.973507,0.978397,0.945139,0.944419,0.957605,-0.002527,0.004719,0.002436,0.004334,0.004334,0.000403 
[21-02-17 23.01.19.009],6C26C7CD54255BA75C01,6C26C7CD74255BA75C01,E58F9339177D8452,256,256,3,2.761898,0.051437,0.017842,0.001876,0.000008,0.007708,0.001062,0.079986,0.061218,0.019803,0.002540,0.000013,0.008824,0.001127,0.093594,0.058878,0.018456,0.002008,0.000013,0.007601,0.001149,0.088169,0.064399,0.019846,0.001809,0.000021,0.007388,0.001025,0.094538,0.063766,0.019143,0.001917,0.000009,0.008022,0.000923,0.093832,3.224961,174.897430,170.865936,128.346130,127.286224,127.203842,127.610275,174.897430,170.865936,128.346130,6.852716,7.999129,6.852716,5.791993,6.219509,6.798641,7.996903,7.997066,7.996542,5.791993,6.219509,6.798641,0.996170,0.706203,0.333890,0.162346,0.996384,0.882943,0.333220,0.125618,0.996201,0.669436,0.333067,0.089791,0.995926,0.245460,0.335382,0.419063,0.974629,0.974557,0.956158,-0.004437,0.005012,-0.012836,0.974629,0.974557,0.956158,0.974348,0.971812,0.977726,0.972733,0.973005,0.977933,0.955795,0.950336,0.962343,-0.013318,-0.012707,0.012712,-0.009282,0.002842,0.021474,0.001819,-0.007069,-0.033257,0.974348,0.971812,0.977726,0.972733,0.973005,0.977933,0.955795,0.950336,0.962343,0.004015,-0.002362,-0.002102,-0.003069,-0.003069,-0.004824 
